Location,Value,95% CI,Sample Size
National,13.7,(12.6-14.9),"12,580"
Alabama,17.1,(14.6-19.9),"1,499"
Alaska,12.4,(10.5-14.6),"1,167"
Arizona,10.7,(8.3-13.6),"1,520"
Arkansas,17.8,(15.7-20.1),"1,470"
Connecticut,12.3,(10.2-14.7),"2,270"
Delaware,14.2,(12.9-15.6),"2,475"
Florida,11.6,(10.5-12.8),"5,491"
Georgia,12.7,(11.1-14.4),"1,898"
Hawaii,13.4,(11.6-15.4),"4,405"
Idaho,9.6,(8.2-11.1),"1,841"
Illinois,11.5,(9.8-13.4),"3,046"
Kansas,12.6,(10.6-14.8),"1,899"
Kentucky,18,(15.7-20.6),"1,537"
Louisiana,13.5,(11.0-16.4),"1,034"
Maine,11.6,(10.2-13.3),"8,079"
Maryland,11,(10.6-11.4),"49,231"
Massachusetts,10.2,(8.5-12.1),"2,547"
Michigan,13,(11.4-14.9),"4,110"
Mississippi,15.4,(13.1-17.9),"1,446"
Missouri,14.9,(12.3-17.8),"1,539"
Montana,9.4,(8.4-10.5),"4,679"
Nebraska,12.7,(10.9-14.8),"1,827"
Nevada,11.4,(9.6-13.6),"2,047"
New Hampshire,11.2,(9.7-13.0),"1,544"
New Jersey,8.7,(6.8-11.2),"1,644"
New Mexico,12.6,(10.4-15.2),"5,146"
New York,10.6,(9.6-11.7),"9,493"
North Carolina,12.5,(10.8-14.5),"1,770"
North Dakota,13.5,(11.8-15.3),"1,931"
Ohio,13,(10.8-15.5),"1,404"
Oklahoma,11.8,(10.0-14.0),"1,333"
Rhode Island,10.7,(9.5-12.0),"2,304"
South Carolina,13.9,(11.6-16.5),"1,555"
South Dakota,11.9,(9.8-14.4),"1,272"
Tennessee,16.9,(15.1-18.8),"1,831"
Texas,15.7,(13.9-17.6),"3,039"
Utah,6.4,(4.8-8.5),"2,136"
Vermont,13.2,(11.3-15.4),"5,853"
Virginia,12,(10.8-13.4),"6,483"
West Virginia,15.6,(13.5-18.0),"1,561"
Wisconsin,11.6,(9.7-13.9),"2,771"
Wyoming,10.7,(9.4-12.2),"2,910"
